f1,precision,recall,rocauc,model,fold
0.7838827967643738,0.6914377808570862,0.9048625826835632,0.8545315861701965,SAGE,16
0.7504456043243408,0.6486902832984924,0.8900634050369263,0.8110637664794922,MLP,16
0.8134254813194275,0.7629629373550415,0.8710359334945679,0.8862754106521606,HexGIN,17
0.7671480178833008,0.6692913174629211,0.8985201120376587,0.8450066447257996,SAGE,17
0.7299651503562927,0.6207407116889954,0.8858351111412048,0.7853273749351501,MLP,17
0.80406653881073,0.7142857313156128,0.9196617603302002,0.8796959519386292,HexGIN,18
0.7666955590248108,0.6499999761581421,0.9344608783721924,0.8302924633026123,SAGE,18
0.7345207929611206,0.6133144497871399,0.915433406829834,0.7828645706176758,MLP,18
0.8222013115882874,0.7406779527664185,0.9238900542259216,0.8919497728347778,HexGIN,19
0.743953287601471,0.6143250465393066,0.94291752576828,0.8270899653434753,SAGE,19
0.7467811107635498,0.6286126971244812,0.9196617603302002,0.8151067495346069,MLP,19
0.8007279634475708,0.7028753757476807,0.930232584476471,0.8794769644737244,HexGIN,20
0.7574170827865601,0.6448736786842346,0.9175475835800171,0.8312422633171082,SAGE,20
0.7297297120094299,0.607594907283783,0.9133192300796509,0.7929436564445496,MLP,20
0.7966417670249939,0.7128547430038452,0.9027484059333801,0.8795462846755981,HexGIN,21
0.7665805220603943,0.6468023061752319,0.9408034086227417,0.8439117074012756,SAGE,21
0.7416879534721375,0.6214285492897034,0.9196617603302002,0.8159134984016418,MLP,21
0.812734067440033,0.729411780834198,0.9175475835800171,0.8864786624908447,HexGIN,22
0.7631352543830872,0.6438953280448914,0.9365750551223755,0.8433037996292114,SAGE,22
0.7265372276306152,0.5884665846824646,0.9492600560188293,0.8150195479393005,MLP,22
0.7917783856391907,0.6857585310935974,0.9365750551223755,0.8640609979629517,HexGIN,23
0.7621440291404724,0.6310679316520691,0.9619450569152832,0.8392072916030884,SAGE,23
0.7443796992301941,0.6140109896659851,0.9450317025184631,0.8023099303245544,MLP,23
